,year,config,Berth,Navi,Moni,NaviCrew,EngiCrew,Cook,crew_cost,store_cost,maintenance_cost,insurance_cost,general_cost,dock_cost,material_cost,integrate_cost,port_call,fuel_cost_ME,fuel_cost_AE,SCC_Capex,SCC_Opex,SCC_Personal,Mnt_in_port,subsidy
3,2049,Config3,0,2,0,4,14,2,576450.0,289000,275600.0,289000,289000,289000,872667.0,634666.2,600000,1840000,280000,46889.0,22361.0,265778.0,0,0
4,2049,Config4,0,0,1,4,14,2,415800.0,289000,242100.0,289000,289000,289000,872667.0,543999.6,600000,1840000,280000,46889.0,22361.0,265778.0,155250,0
5,2049,Config5,1,1,0,4,14,2,760725.0,289000,282300.0,289000,289000,289000,889667.0,634666.2,540000,1840000,280000,23444.5,11180.5,132889.0,0,0
6,2049,Config6,1,2,0,4,14,2,576450.0,289000,275600.0,289000,289000,289000,872667.0,725332.7999999999,540000,1840000,280000,46889.0,22361.0,265778.0,0,0
7,2049,Config7,1,0,1,4,14,2,415800.0,289000,242100.0,289000,289000,289000,872667.0,634666.2,540000,1840000,280000,46889.0,22361.0,265778.0,155250,0
8,2049,Config8,0,1,1,4,14,2,231525.0,289000,235400.0,289000,289000,289000,855667.0,634666.2,600000,1840000,280000,70333.5,33541.5,398667.0,155250,0
9,2049,Config9,0,2,1,4,14,2,47250.0,289000,228700.0,289000,289000,289000,838667.0,725332.7999999999,600000,1840000,280000,93778.0,44722.0,531556.0,155250,0
10,2049,Config10,1,1,1,4,14,2,231525.0,289000,235400.0,289000,289000,289000,855667.0,725332.7999999999,540000,1840000,280000,70333.5,33541.5,398667.0,155250,0
11,2049,Config11,1,2,1,4,14,2,47250.0,289000,228700.0,289000,289000,289000,838667.0,815999.3999999999,540000,1840000,280000,93778.0,44722.0,531556.0,155250,0
0,2050,Config0,0,0,0,4,14,2,945000.0,289000,289000.0,289000,289000,289000,906667.0,453333.0,600000,1840000,280000,0.0,0.0,0.0,0,0
1,2050,Config1,1,0,0,4,14,2,945000.0,289000,289000.0,289000,289000,289000,906667.0,543999.6,540000,1840000,280000,0.0,0.0,0.0,0,0
2,2050,Config2,0,1,0,4,14,2,760725.0,289000,282300.0,289000,289000,289000,889667.0,543999.6,600000,1840000,280000,23444.5,11180.5,132889.0,0,0
3,2050,Config3,0,2,0,4,14,2,576450.0,289000,275600.0,289000,289000,289000,872667.0,634666.2,600000,1840000,280000,46889.0,22361.0,265778.0,0,0
4,2050,Config4,0,0,1,4,14,2,415800.0,289000,242100.0,289000,289000,289000,872667.0,543999.6,600000,1840000,280000,46889.0,22361.0,265778.0,155250,0
5,2050,Config5,1,1,0,4,14,2,760725.0,289000,282300.0,289000,289000,289000,889667.0,634666.2,540000,1840000,280000,23444.5,11180.5,132889.0,0,0
6,2050,Config6,1,2,0,4,14,2,576450.0,289000,275600.0,289000,289000,289000,872667.0,725332.7999999999,540000,1840000,280000,46889.0,22361.0,265778.0,0,0
7,2050,Config7,1,0,1,4,14,2,415800.0,289000,242100.0,289000,289000,289000,872667.0,634666.2,540000,1840000,280000,46889.0,22361.0,265778.0,155250,0
8,2050,Config8,0,1,1,4,14,2,231525.0,289000,235400.0,289000,289000,289000,855667.0,634666.2,600000,1840000,280000,70333.5,33541.5,398667.0,155250,0
9,2050,Config9,0,2,1,4,14,2,47250.0,289000,228700.0,289000,289000,289000,838667.0,725332.7999999999,600000,1840000,280000,93778.0,44722.0,531556.0,155250,0
10,2050,Config10,1,1,1,4,14,2,231525.0,289000,235400.0,289000,289000,289000,855667.0,725332.7999999999,540000,1840000,280000,70333.5,33541.5,398667.0,155250,0
11,2050,Config11,1,2,1,4,14,2,47250.0,289000,228700.0,289000,289000,289000,838667.0,815999.3999999999,540000,1840000,280000,93778.0,44722.0,531556.0,155250,0
